settlement_date,settlement_period,england_wales_generation_mwh,b1610_rows_used,bmu_count_used,england_wales_generation_mw
2023-01-07,47,402.957,307,307,805.914
2023-01-07,48,344.646,307,307,689.292
2023-01-08,1,671.806,614,614,1343.612
2023-01-08,2,712.314,614,614,1424.628
2023-01-08,3,685.4,614,614,1370.8
2023-01-08,4,617.33,614,614,1234.66
2023-01-08,5,592.142,614,614,1184.284
2023-01-08,6,601.078,614,614,1202.156
2023-01-08,7,608.11,614,614,1216.22
2023-01-08,8,607.078,614,614,1214.156
2023-01-08,9,614.004,614,614,1228.008
2023-01-08,10,604.258,614,614,1208.516
2023-01-08,11,620.456,614,614,1240.912
2023-01-08,12,607.056,614,614,1214.112
2023-01-08,13,590.14,614,614,1180.28
2023-01-08,14,613.6479999999999,614,614,1227.2959999999998
2023-01-08,15,600.008,614,614,1200.016
2023-01-08,16,622.3720000000001,614,614,1244.7440000000001
2023-01-08,17,595.316,614,614,1190.632
2023-01-08,18,695.076,614,614,1390.152
2023-01-08,19,621.412,614,614,1242.824
2023-01-08,20,682.0899999999999,614,614,1364.1799999999998
2023-01-08,21,637.846,614,614,1275.692
2023-01-08,22,659.538,614,614,1319.076
2023-01-08,23,637.518,614,614,1275.036
2023-01-08,24,632.606,614,614,1265.212
2023-01-08,25,734.348,614,614,1468.696
2023-01-08,26,869.252,614,614,1738.504
2023-01-08,27,799.032,614,614,1598.064
2023-01-08,28,862.0400000000001,614,614,1724.0800000000002
2023-01-08,29,907.9359999999999,614,614,1815.8719999999998
2023-01-08,30,885.152,614,614,1770.304
2023-01-08,31,842.664,614,614,1685.328
2023-01-08,32,896.772,614,614,1793.544
2023-01-08,33,1167.284,614,614,2334.568
2023-01-08,34,1312.834,614,614,2625.668
2023-01-08,35,1871.734,614,614,3743.468
2023-01-08,36,1901.044,614,614,3802.088
2023-01-08,37,1513.724,614,614,3027.448
2023-01-08,38,1384.81,614,614,2769.62
2023-01-08,39,1224.782,614,614,2449.564
2023-01-08,40,1037.6779999999999,614,614,2075.3559999999998
2023-01-08,41,841.208,614,614,1682.416
2023-01-08,42,813.24,614,614,1626.48
2023-01-08,43,756.784,614,614,1513.568
2023-01-08,44,738.566,614,614,1477.132
2023-01-08,45,778.188,614,614,1556.376
2023-01-08,46,748.528,614,614,1497.056
2023-01-08,47,767.74,614,614,1535.48
2023-01-08,48,743.89,614,614,1487.78
2023-01-09,1,377.298,307,307,754.596
2023-01-09,2,410.879,307,307,821.758
2023-01-09,3,370.98499999999996,307,307,741.9699999999999
2023-01-09,4,350.95700000000005,307,307,701.9140000000001
2023-01-09,5,367.701,307,307,735.402
2023-01-09,6,377.841,307,307,755.682
2023-01-09,7,377.711,307,307,755.422
2023-01-09,8,379.347,307,307,758.694
2023-01-09,9,416.198,307,307,832.396
2023-01-09,10,389.64,307,307,779.28
2023-01-09,11,427.90999999999997,307,307,855.8199999999999
2023-01-09,12,430.992,307,307,861.984
2023-01-09,13,283.26599999999996,307,307,566.5319999999999
2023-01-09,14,344.628,307,307,689.256
2023-01-09,15,327.064,307,307,654.128
2023-01-09,16,393.07899999999995,307,307,786.1579999999999
2023-01-09,17,341.004,307,307,682.008
2023-01-09,18,308.516,307,307,617.032
2023-01-09,19,369.634,307,307,739.268
2023-01-09,20,366.27799999999996,307,307,732.5559999999999
2023-01-09,21,345.937,307,307,691.874
2023-01-09,22,328.208,307,307,656.416
2023-01-09,23,326.879,307,307,653.758
2023-01-09,24,339.325,307,307,678.65
2023-01-09,25,345.617,307,307,691.234
2023-01-09,26,337.61199999999997,307,307,675.2239999999999
2023-01-09,27,326.861,307,307,653.722
2023-01-09,28,313.90200000000004,307,307,627.8040000000001
2023-01-09,29,307.759,307,307,615.518
2023-01-09,30,357.07399999999996,307,307,714.1479999999999
2023-01-09,31,379.94899999999996,307,307,759.8979999999999
2023-01-09,32,499.073,307,307,998.146
2023-01-09,33,635.003,307,307,1270.006
2023-01-09,34,839.172,307,307,1678.344
2023-01-09,35,917.165,307,307,1834.33
2023-01-09,36,888.245,307,307,1776.49
2023-01-09,37,706.081,307,307,1412.162
2023-01-09,38,621.54,307,307,1243.08
2023-01-09,39,547.015,307,307,1094.03
2023-01-09,40,557.5880000000001,307,307,1115.1760000000002
2023-01-09,41,479.161,307,307,958.322
2023-01-09,42,456.15200000000004,307,307,912.3040000000001
2023-01-09,43,410.056,307,307,820.112
2023-01-09,44,317.247,307,307,634.494
2023-01-09,45,335.2,307,307,670.4
2023-01-09,46,288.473,307,307,576.946
2023-01-09,47,296.02,307,307,592.04
2023-01-09,48,350.644,307,307,701.288
2023-01-10,1,282.34700000000004,307,307,564.6940000000001
2023-01-10,2,249.256,307,307,498.512
2023-01-10,3,222.017,307,307,444.034
2023-01-10,4,231.166,307,307,462.332
2023-01-10,5,229.313,307,307,458.626
2023-01-10,6,230.488,307,307,460.976
2023-01-10,7,221.266,307,307,442.532
2023-01-10,8,267.55,307,307,535.1
2023-01-10,9,271.47299999999996,307,307,542.9459999999999
2023-01-10,10,274.601,307,307,549.202
2023-01-10,11,279.712,307,307,559.424
2023-01-10,12,299.053,307,307,598.106
2023-01-10,13,401.04,307,307,802.08
2023-01-10,14,384.673,307,307,769.346
2023-01-10,15,534.917,307,307,1069.834
2023-01-10,16,733.088,307,307,1466.176
2023-01-10,17,540.5010000000001,307,307,1081.0020000000002
2023-01-10,18,527.1949999999999,307,307,1054.3899999999999
2023-01-10,19,509.181,307,307,1018.362
2023-01-10,20,492.70199999999994,307,307,985.4039999999999
2023-01-10,21,459.33799999999997,307,307,918.6759999999999
2023-01-10,22,494.13200000000006,307,307,988.2640000000001
2023-01-10,23,517.102,307,307,1034.204
2023-01-10,24,546.942,307,307,1093.884
2023-01-10,25,538.66,307,307,1077.32
2023-01-10,26,543.344,307,307,1086.688
2023-01-10,27,470.218,307,307,940.436
2023-01-10,28,420.136,307,307,840.272
2023-01-10,29,428.933,307,307,857.866
2023-01-10,30,429.875,307,307,859.75
2023-01-10,31,440.382,307,307,880.764
2023-01-10,32,475.259,307,307,950.518
2023-01-10,33,550.026,307,307,1100.052
2023-01-10,34,608.831,307,307,1217.662
2023-01-10,35,736.858,307,307,1473.716
2023-01-10,36,739.3639999999999,307,307,1478.7279999999998
2023-01-10,37,643.596,307,307,1287.192
2023-01-10,38,563.689,307,307,1127.378
2023-01-10,39,541.0600000000001,307,307,1082.1200000000001
2023-01-10,40,472.90999999999997,307,307,945.8199999999999
2023-01-10,41,470.444,307,307,940.888
2023-01-10,42,463.34499999999997,307,307,926.6899999999999
2023-01-10,43,548.198,307,307,1096.396
2023-01-10,44,545.824,307,307,1091.648
2023-01-10,45,584.1409999999998,307,307,1168.2819999999997
2023-01-10,46,510.443,307,307,1020.886
2023-01-10,47,651.692,307,307,1303.384
2023-01-10,48,651.359,307,307,1302.718
2023-01-11,1,609.619,307,307,1219.238
2023-01-11,2,591.39,307,307,1182.78
2023-01-11,3,511.626,307,307,1023.252
2023-01-11,4,454.31899999999996,307,307,908.6379999999999
2023-01-11,5,472.272,307,307,944.544
2023-01-11,6,431.491,307,307,862.982
2023-01-11,7,486.88199999999995,307,307,973.7639999999999
2023-01-11,8,409.932,307,307,819.864
2023-01-11,9,460.61899999999997,307,307,921.2379999999999
2023-01-11,10,518.1510000000001,307,307,1036.3020000000001
2023-01-11,11,504.473,307,307,1008.946
2023-01-11,12,537.01,307,307,1074.02
2023-01-11,13,484.03499999999997,307,307,968.0699999999999
2023-01-11,14,659.4529999999999,307,307,1318.9059999999997
2023-01-11,15,494.979,307,307,989.958
2023-01-11,16,556.016,307,307,1112.032
2023-01-11,17,476.399,307,307,952.798
2023-01-11,18,492.65,307,307,985.3
2023-01-11,19,472.858,307,307,945.716
2023-01-11,20,417.353,307,307,834.706
2023-01-11,21,407.65000000000003,307,307,815.3000000000001
2023-01-11,22,417.564,307,307,835.128
2023-01-11,23,414.10200000000003,307,307,828.2040000000001
2023-01-11,24,447.962,307,307,895.924
2023-01-11,25,561.866,307,307,1123.732
2023-01-11,26,600.453,307,307,1200.906
2023-01-11,27,567.889,307,307,1135.778
2023-01-11,28,611.336,307,307,1222.672
2023-01-11,29,622.725,307,307,1245.45
2023-01-11,30,588.214,307,307,1176.428
2023-01-11,31,511.41900000000004,307,307,1022.8380000000001
2023-01-11,32,561.491,307,307,1122.982
2023-01-11,33,677.512,307,307,1355.024
2023-01-11,34,762.3499999999999,307,307,1524.6999999999998
2023-01-11,35,836.347,307,307,1672.694
2023-01-11,36,806.819,307,307,1613.638
2023-01-11,37,710.388,307,307,1420.776
2023-01-11,38,705.163,307,307,1410.326
2023-01-11,39,568.975,307,307,1137.95
2023-01-11,40,429.238,307,307,858.476
2023-01-11,41,342.576,307,307,685.152
2023-01-11,42,327.831,307,307,655.662
2023-01-11,43,308.633,307,307,617.266
2023-01-11,44,308.727,307,307,617.454
2023-01-11,45,329.492,307,307,658.984
2023-01-11,46,299.177,307,307,598.354
2023-01-11,47,311.335,307,307,622.67
2023-01-11,48,330.081,307,307,660.162
2023-01-12,1,335.406,307,307,670.812
2023-01-12,2,350.751,307,307,701.502
2023-01-12,3,346.621,307,307,693.242
2023-01-12,4,344.51000000000005,307,307,689.0200000000001
2023-01-12,5,384.349,307,307,768.698
2023-01-12,6,368.983,307,307,737.966
2023-01-12,7,368.366,307,307,736.732
2023-01-12,8,372.578,307,307,745.156
2023-01-12,9,371.644,307,307,743.288
2023-01-12,10,352.53499999999997,307,307,705.0699999999999
2023-01-12,11,354.875,307,307,709.75
2023-01-12,12,375.981,307,307,751.962
2023-01-12,13,322.311,307,307,644.622
2023-01-12,14,388.66700000000003,307,307,777.3340000000001
2023-01-12,15,405.082,307,307,810.164
2023-01-12,16,480.01099999999997,307,307,960.0219999999999
2023-01-12,17,533.746,307,307,1067.492
2023-01-12,18,537.129,307,307,1074.258
2023-01-12,19,528.825,307,307,1057.65
2023-01-12,20,506.793,307,307,1013.586
2023-01-12,21,503.065,307,307,1006.13
2023-01-12,22,482.11100000000005,307,307,964.2220000000001
2023-01-12,23,476.54200000000003,307,307,953.0840000000001
2023-01-12,24,445.041,307,307,890.082
2023-01-12,25,445.362,307,307,890.724
2023-01-12,26,441.916,307,307,883.832
2023-01-12,27,451.075,307,307,902.15
2023-01-12,28,438.022,307,307,876.044
2023-01-12,29,444.672,307,307,889.344
2023-01-12,30,437.14799999999997,307,307,874.2959999999999
2023-01-12,31,442.312,307,307,884.624
2023-01-12,32,432.001,307,307,864.002
2023-01-12,33,542.025,307,307,1084.05
2023-01-12,34,697.55,307,307,1395.1
2023-01-12,35,868.7339999999999,307,307,1737.4679999999998
2023-01-12,36,851.399,307,307,1702.798
2023-01-12,37,748.759,307,307,1497.518
2023-01-12,38,590.352,307,307,1180.704
2023-01-12,39,469.059,307,307,938.118
2023-01-12,40,464.344,307,307,928.688
2023-01-12,41,441.789,307,307,883.578
2023-01-12,42,434.831,307,307,869.662
2023-01-12,43,454.81600000000003,307,307,909.6320000000001
2023-01-12,44,427.758,307,307,855.516
2023-01-12,45,510.88,307,307,1021.76
2023-01-12,46,462.536,307,307,925.072
2023-01-12,47,450.952,307,307,901.904
2023-01-12,48,434.949,307,307,869.898
2023-01-13,1,461.98999999999995,307,307,923.9799999999999
2023-01-13,2,479.48400000000004,307,307,958.9680000000001
2023-01-13,3,484.59,307,307,969.18
2023-01-13,4,476.604,307,307,953.208
2023-01-13,5,532.518,307,307,1065.036
2023-01-13,6,508.428,307,307,1016.856
2023-01-13,7,560.7860000000001,307,307,1121.5720000000001
2023-01-13,8,556.096,307,307,1112.192
2023-01-13,9,472.249,307,307,944.498
2023-01-13,10,487.552,307,307,975.104
2023-01-13,11,466.849,307,307,933.698
2023-01-13,12,473.591,307,307,947.182
2023-01-13,13,508.47400000000005,307,307,1016.9480000000001
2023-01-13,14,581.542,307,307,1163.084
2023-01-13,15,547.491,307,307,1094.982
2023-01-13,16,577.924,307,307,1155.848
2023-01-13,17,483.417,307,307,966.834
2023-01-13,18,471.421,307,307,942.842
2023-01-13,19,475.153,307,307,950.306
2023-01-13,20,442.452,307,307,884.904
2023-01-13,21,447.971,307,307,895.942
2023-01-13,22,459.875,307,307,919.75
