dataset,publishTime,startTime,settlementDate,settlementPeriod,fuelType,generation
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,OTHER,1282
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,PS,642
FUELHH,2026-06-15T18:00:00Z,2026-06-15T17:30:00Z,2026-06-15,38,WIND,2759
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,BIOMASS,1752
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,CCGT,11265
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,COAL,0
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTELEC,972
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTEW,-434
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTFR,1472
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTGRNL,-458
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTIFA2,964
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTIRL,0
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTNED,1050
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTNEM,480
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTNSL,1396
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,INTVKL,1406
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,NPSHYD,520
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,NUCLEAR,2962
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,OCGT,14
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,OIL,0
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,OTHER,1383
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,PS,814
FUELHH,2026-06-15T17:30:00Z,2026-06-15T17:00:00Z,2026-06-15,37,WIND,2543
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,BIOMASS,1571
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,CCGT,11236
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,COAL,0
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTELEC,996
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTEW,-528
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTFR,1502
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTGRNL,-464
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTIFA2,990
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTIRL,0
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTNED,1040
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTNEM,524
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTNSL,1396
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,INTVKL,1426
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,NPSHYD,460
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,NUCLEAR,2965
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,OCGT,14
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,OIL,0
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,OTHER,965
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,PS,136
FUELHH,2026-06-15T17:00:00Z,2026-06-15T16:30:00Z,2026-06-15,36,WIND,2441
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,BIOMASS,1424
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,CCGT,10942
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,COAL,0
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,INTELEC,996
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,INTEW,-456
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,INTFR,1502
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,INTGRNL,-454
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,INTIFA2,992
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,INTIRL,0
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,INTNED,1038
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,INTNEM,530
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,INTNSL,1396
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,INTVKL,1426
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,NPSHYD,366
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,NUCLEAR,2969
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,OCGT,14
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,OIL,0
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,OTHER,867
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,PS,26
FUELHH,2026-06-15T16:30:00Z,2026-06-15T16:00:00Z,2026-06-15,35,WIND,2227
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,BIOMASS,1424
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,CCGT,10271
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,COAL,0
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,INTELEC,998
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,INTEW,-410
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,INTFR,1502
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,INTGRNL,-484
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,INTIFA2,992
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,INTIRL,0
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,INTNED,1044
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,INTNEM,862
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,INTNSL,1396
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,INTVKL,1426
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,NPSHYD,273
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,NUCLEAR,2994
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,OCGT,14
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,OIL,0
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,OTHER,617
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,PS,-164
FUELHH,2026-06-15T16:00:00Z,2026-06-15T15:30:00Z,2026-06-15,34,WIND,2021
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,BIOMASS,1404
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,CCGT,8817
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,COAL,0
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,INTELEC,996
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,INTEW,-378
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,INTFR,1500
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,INTGRNL,-464
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,INTIFA2,992
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,INTIRL,0
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,INTNED,1044
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,INTNEM,866
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,INTNSL,1396
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,INTVKL,1426
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,NPSHYD,268
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,NUCLEAR,2992
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,OCGT,8
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,OIL,0
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,OTHER,622
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,PS,-144
FUELHH,2026-06-15T15:30:00Z,2026-06-15T15:00:00Z,2026-06-15,33,WIND,2025
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,BIOMASS,1376
FUELHH,2026-06-15T15:00:00Z,2026-06-15T14:30:00Z,2026-06-15,32,CCGT,8010
